recursion, loop, algo, allowedP, trueP, n, sentinel, time, 
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 32, 5.12512, 2.9e-06
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 38, 10.1649, 1.28e-05
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 45, 4.59897, 5.1e-06
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 53, 6.24848, 5.1e-06
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 64, 8.48267, 5.1e-06
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 76, 0.649002, 1.02e-05
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 90, 6.17745, 1.28e-05
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 107, 4.0058, 6.9e-06
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 128, 6.99139, 7.3e-06
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 152, 12.8346, 0.0035559
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 181, 3.00734, 0.0072366
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 215, 3.89364, 0.0101521
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 256, 7.77228, 4.19e-05
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 304, 6.2474, 0.0001295
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 362, 12.3514, 5.36e-05
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 430, 11.1336, 4.81e-05
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 512, 6.38456, 5.14e-05
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 608, 18.3453, 0.0001218
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 724, 6.05831, 8.93e-05
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 861, 5.95193, 8.78e-05
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 1024, 15.0743, 8.61e-05
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 1217, 25.349, 0.0001846
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 1448, 22.9566, 0.0001346
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 1722, 15.9214, 0.0001608
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 2048, 50.2559, 0.0001604
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 2435, 31.2571, 0.0002811
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 2896, 13.6187, 0.0003166
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 3444, 16.7054, 0.0003213
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 4096, 41.5433, 0.0003301
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 4870, 84.8676, 0.0006863
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 5792, 20.4682, 0.0006265
64 - 128, hpce.fast_fourier_transform_combined, 8, 8, 6888, 44.0272, 0.0006349
